instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,period
81,2011-03-22,Spring,2011,Jan,12,No,Tue,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Sore
82,2011-03-23,Spring,2011,Jan,13,No,Tue,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,Sore
83,2011-03-24,Spring,2011,Jan,14,No,Tue,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Sore
84,2011-03-25,Spring,2011,Jan,15,No,Tue,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Sore
85,2011-03-26,Spring,2011,Jan,16,No,Tue,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Sore
86,2011-03-27,Spring,2011,Jan,17,No,Tue,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Sore
87,2011-03-28,Spring,2011,Jan,18,No,Tue,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,Malam
88,2011-03-29,Spring,2011,Jan,19,No,Tue,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Malam
89,2011-03-30,Spring,2011,Jan,20,No,Tue,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Malam
90,2011-03-31,Spring,2011,Jan,21,No,Tue,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,Malam
91,2011-04-01,Spring,2011,Jan,22,No,Tue,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Malam
92,2011-04-02,Spring,2011,Jan,23,No,Tue,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Malam
93,2011-04-03,Spring,2011,Jan,0,No,Wed,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,Malam
94,2011-04-04,Spring,2011,Jan,1,No,Wed,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,Malam
95,2011-04-05,Spring,2011,Jan,2,No,Wed,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,Malam
96,2011-04-06,Spring,2011,Jan,4,No,Wed,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Malam
97,2011-04-07,Spring,2011,Jan,5,No,Wed,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Malam
98,2011-04-08,Spring,2011,Jan,6,No,Wed,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,Pagi
99,2011-04-09,Spring,2011,Jan,7,No,Wed,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,Pagi
100,2011-04-10,Spring,2011,Jan,8,No,Wed,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Pagi
101,2011-04-11,Spring,2011,Jan,9,No,Wed,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,Pagi
102,2011-04-12,Spring,2011,Jan,10,No,Wed,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,Pagi
103,2011-04-13,Spring,2011,Jan,11,No,Wed,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Sore
104,2011-04-14,Spring,2011,Jan,12,No,Wed,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Sore
105,2011-04-15,Spring,2011,Jan,13,No,Wed,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Sore
106,2011-04-16,Spring,2011,Jan,14,No,Wed,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,Sore
107,2011-04-17,Spring,2011,Jan,15,No,Wed,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,Sore
108,2011-04-18,Spring,2011,Jan,16,No,Wed,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Sore
109,2011-04-19,Spring,2011,Jan,17,No,Wed,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,Sore
110,2011-04-20,Spring,2011,Jan,18,No,Wed,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Malam
111,2011-04-21,Spring,2011,Jan,19,No,Wed,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Malam
112,2011-04-22,Spring,2011,Jan,20,No,Wed,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Malam
113,2011-04-23,Spring,2011,Jan,21,No,Wed,1,Clear,0.2,0.197,0.51,0.194,3,40,43,Malam
114,2011-04-24,Spring,2011,Jan,22,No,Wed,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,Malam
115,2011-04-25,Spring,2011,Jan,23,No,Wed,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,Malam
116,2011-04-26,Spring,2011,Jan,0,No,Thu,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,Malam
117,2011-04-27,Spring,2011,Jan,1,No,Thu,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,Malam
118,2011-04-28,Spring,2011,Jan,2,No,Thu,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,Malam
119,2011-04-29,Spring,2011,Jan,4,No,Thu,1,Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Malam
120,2011-04-30,Spring,2011,Jan,5,No,Thu,1,Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Malam
121,2011-05-01,Spring,2011,Jan,6,No,Thu,1,Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Pagi
122,2011-05-02,Spring,2011,Jan,7,No,Thu,1,Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Pagi
123,2011-05-03,Spring,2011,Jan,8,No,Thu,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,Pagi
124,2011-05-04,Spring,2011,Jan,9,No,Thu,1,Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Pagi
125,2011-05-05,Spring,2011,Jan,10,No,Thu,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,Pagi
126,2011-05-06,Spring,2011,Jan,11,No,Thu,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Sore
127,2011-05-07,Spring,2011,Jan,12,No,Thu,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,Sore
128,2011-05-08,Spring,2011,Jan,13,No,Thu,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Sore
129,2011-05-09,Spring,2011,Jan,14,No,Thu,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Sore
130,2011-05-10,Spring,2011,Jan,15,No,Thu,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,Sore
131,2011-05-11,Spring,2011,Jan,16,No,Thu,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Sore
132,2011-05-12,Spring,2011,Jan,17,No,Thu,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Sore
133,2011-05-13,Spring,2011,Jan,18,No,Thu,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Malam
134,2011-05-14,Spring,2011,Jan,19,No,Thu,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Malam
135,2011-05-15,Spring,2011,Jan,20,No,Thu,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Malam
136,2011-05-16,Spring,2011,Jan,21,No,Thu,1,Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Malam
137,2011-05-17,Spring,2011,Jan,22,No,Thu,1,Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Malam
138,2011-05-18,Spring,2011,Jan,23,No,Thu,1,Cloudy,0.2,0.197,0.59,0.194,4,19,23,Malam
139,2011-05-19,Spring,2011,Jan,0,No,Fri,1,Cloudy,0.2,0.197,0.64,0.194,4,13,17,Malam
140,2011-05-20,Spring,2011,Jan,1,No,Fri,1,Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Malam
141,2011-05-21,Spring,2011,Jan,2,No,Fri,1,Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Malam
142,2011-05-22,Spring,2011,Jan,4,No,Fri,1,Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Malam
143,2011-05-23,Spring,2011,Jan,5,No,Fri,1,Light Rain/Snow,0.22,0.2727,0.55,0.0,0,5,5,Malam
144,2011-05-24,Spring,2011,Jan,6,No,Fri,1,Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Pagi
145,2011-05-25,Spring,2011,Jan,7,No,Fri,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Pagi
146,2011-05-26,Spring,2011,Jan,8,No,Fri,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,Pagi
147,2011-05-27,Spring,2011,Jan,9,No,Fri,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Pagi
148,2011-05-28,Spring,2011,Jan,10,No,Fri,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,Pagi
149,2011-05-29,Spring,2011,Jan,11,No,Fri,1,Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Sore
150,2011-05-30,Spring,2011,Jan,12,No,Fri,1,Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Sore
151,2011-05-31,Spring,2011,Jan,13,No,Fri,1,Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Sore
152,2011-06-01,Spring,2011,Jan,14,No,Fri,1,Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Sore
153,2011-06-02,Spring,2011,Jan,15,No,Fri,1,Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Sore
154,2011-06-03,Spring,2011,Jan,16,No,Fri,1,Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Sore
155,2011-06-04,Spring,2011,Jan,17,No,Fri,1,Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Sore
156,2011-06-05,Spring,2011,Jan,18,No,Fri,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Malam
157,2011-06-06,Spring,2011,Jan,19,No,Fri,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,Malam
158,2011-06-07,Spring,2011,Jan,20,No,Fri,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Malam
159,2011-06-08,Spring,2011,Jan,21,No,Fri,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,Malam
160,2011-06-09,Spring,2011,Jan,22,No,Fri,1,Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Malam
161,2011-06-10,Spring,2011,Jan,23,No,Fri,1,Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Malam
162,2011-06-11,Spring,2011,Jan,0,No,Sat,0,Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Malam
163,2011-06-12,Spring,2011,Jan,1,No,Sat,0,Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Malam
164,2011-06-13,Spring,2011,Jan,2,No,Sat,0,Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Malam
165,2011-06-14,Spring,2011,Jan,3,No,Sat,0,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,7,7,Malam
166,2011-06-15,Spring,2011,Jan,4,No,Sat,0,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,1,1,Malam
167,2011-06-16,Spring,2011,Jan,5,No,Sat,0,Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Malam
168,2011-06-17,Spring,2011,Jan,6,No,Sat,0,Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Pagi
169,2011-06-18,Spring,2011,Jan,7,No,Sat,0,Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Pagi
170,2011-06-19,Spring,2011,Jan,8,No,Sat,0,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,15,15,Pagi
171,2011-06-20,Spring,2011,Jan,9,No,Sat,0,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,20,20,Pagi
172,2011-06-21,Spring,2011,Jan,10,No,Sat,0,Cloudy,0.18,0.197,0.8,0.1642,5,56,61,Pagi
173,2011-06-22,Spring,2011,Jan,11,No,Sat,0,Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,Sore
174,2011-06-23,Spring,2011,Jan,12,No,Sat,0,Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,Sore
175,2011-06-24,Spring,2011,Jan,13,No,Sat,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Sore
176,2011-06-25,Spring,2011,Jan,14,No,Sat,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Sore
177,2011-06-26,Spring,2011,Jan,15,No,Sat,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Sore
178,2011-06-27,Spring,2011,Jan,16,No,Sat,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Sore
179,2011-06-28,Spring,2011,Jan,17,No,Sat,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Sore
180,2011-06-29,Spring,2011,Jan,18,No,Sat,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Malam
181,2011-06-30,Spring,2011,Jan,19,No,Sat,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Malam
182,2011-07-01,Spring,2011,Jan,20,No,Sat,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Malam
183,2011-07-02,Spring,2011,Jan,21,No,Sat,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Malam
184,2011-07-03,Spring,2011,Jan,22,No,Sat,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Malam
185,2011-07-04,Spring,2011,Jan,23,No,Sat,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Malam
186,2011-07-05,Spring,2011,Jan,0,No,Sun,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Malam
187,2011-07-06,Spring,2011,Jan,1,No,Sun,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Malam
188,2011-07-07,Spring,2011,Jan,2,No,Sun,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Malam
189,2011-07-08,Spring,2011,Jan,3,No,Sun,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Malam
190,2011-07-09,Spring,2011,Jan,4,No,Sun,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Malam
191,2011-07-10,Spring,2011,Jan,5,No,Sun,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Malam
192,2011-07-11,Spring,2011,Jan,6,No,Sun,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Pagi
193,2011-07-12,Spring,2011,Jan,7,No,Sun,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,Pagi
194,2011-07-13,Spring,2011,Jan,8,No,Sun,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Pagi
195,2011-07-14,Spring,2011,Jan,9,No,Sun,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Pagi
196,2011-07-15,Spring,2011,Jan,10,No,Sun,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Pagi
197,2011-07-16,Spring,2011,Jan,11,No,Sun,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Sore
198,2011-07-17,Spring,2011,Jan,12,No,Sun,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Sore
199,2011-07-18,Spring,2011,Jan,13,No,Sun,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Sore
200,2011-07-19,Spring,2011,Jan,14,No,Sun,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Sore
201,2011-07-20,Spring,2011,Jan,15,No,Sun,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,Sore
202,2011-07-21,Spring,2011,Jan,16,No,Sun,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Sore
203,2011-07-22,Spring,2011,Jan,17,No,Sun,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Sore
204,2011-07-23,Spring,2011,Jan,18,No,Sun,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Malam
205,2011-07-24,Spring,2011,Jan,19,No,Sun,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Malam
206,2011-07-25,Spring,2011,Jan,20,No,Sun,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Malam
207,2011-07-26,Spring,2011,Jan,21,No,Sun,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,Malam
208,2011-07-27,Spring,2011,Jan,22,No,Sun,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,Malam
209,2011-07-28,Spring,2011,Jan,23,No,Sun,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,Malam
210,2011-07-29,Spring,2011,Jan,0,No,Mon,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,Malam
211,2011-07-30,Spring,2011,Jan,1,No,Mon,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,Malam
212,2011-07-31,Spring,2011,Jan,2,No,Mon,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,Malam
213,2011-08-01,Spring,2011,Jan,3,No,Mon,1,Clear,0.12,0.1212,0.5,0.2239,0,1,1,Malam
214,2011-08-02,Spring,2011,Jan,4,No,Mon,1,Clear,0.1,0.1212,0.54,0.1343,1,2,3,Malam
215,2011-08-03,Spring,2011,Jan,5,No,Mon,1,Clear,0.1,0.1061,0.54,0.2537,0,3,3,Malam
216,2011-08-04,Spring,2011,Jan,6,No,Mon,1,Clear,0.12,0.1212,0.5,0.2836,0,31,31,Pagi
217,2011-08-05,Spring,2011,Jan,7,No,Mon,1,Clear,0.12,0.1212,0.5,0.2239,2,75,77,Pagi
218,2011-08-06,Spring,2011,Jan,8,No,Mon,1,Cloudy,0.12,0.1212,0.5,0.2836,4,184,188,Pagi
219,2011-08-07,Spring,2011,Jan,9,No,Mon,1,Cloudy,0.14,0.1212,0.5,0.2537,2,92,94,Pagi
220,2011-08-08,Spring,2011,Jan,10,No,Mon,1,Cloudy,0.14,0.1212,0.5,0.2985,0,31,31,Pagi
221,2011-08-09,Spring,2011,Jan,11,No,Mon,1,Cloudy,0.16,0.1364,0.47,0.2836,2,28,30,Sore
